id,nom,places,capacite,derniere_mise_a_jour_base,derniere_actualisation_bo,taux_doccupation,geo_point_2d,parking_id,inserted_at,updated_at
1240,BLOSSAC TISON,287,665,2023-09-05 09:34:10,2023-09-05 09:34:20,56.84210526315789,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-05 09:36:19,2023-09-05 09:36:19
2,NOTRE DAME,446,642,2023-09-04 23:18:08,2023-09-04 23:18:14,30.529595015576323,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-04 23:21:46,2023-09-04 23:21:46
4,THEATRE,218,320,2023-09-04 23:18:08,2023-09-04 23:18:14,31.874999999999996,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-04 23:21:46,2023-09-04 23:21:46
5,GARE TOUMAI,465,632,2023-09-04 23:18:07,2023-09-04 23:18:14,26.424050632911396,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-04 23:21:46,2023-09-04 23:21:46
6,ARRET MINUTE,96,137,2023-09-04 23:18:05,2023-09-04 23:18:14,29.927007299270077,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-04 23:21:46,2023-09-04 23:21:46
7,PALAIS DE JUSTICE,68,70,2023-09-04 23:18:08,2023-09-04 23:18:14,2.857142857142857,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-04 23:21:46,2023-09-04 23:21:46
8,BLOSSAC TISON,486,665,2023-09-04 23:20:07,2023-09-04 23:20:06,26.917293233082706,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-04 23:23:06,2023-09-04 23:23:06
9,NOTRE DAME,446,642,2023-09-04 23:20:07,2023-09-04 23:20:06,30.529595015576323,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-04 23:23:06,2023-09-04 23:23:06
10,HOTEL DE VILLE,441,625,2023-09-04 23:20:07,2023-09-04 23:20:06,29.439999999999998,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-04 23:23:06,2023-09-04 23:23:06
11,THEATRE,218,320,2023-09-04 23:20:08,2023-09-04 23:20:06,31.874999999999996,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-04 23:23:06,2023-09-04 23:23:06
12,GARE TOUMAI,465,632,2023-09-04 23:20:07,2023-09-04 23:20:06,26.424050632911396,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-04 23:23:06,2023-09-04 23:23:06
13,ARRET MINUTE,96,137,2023-09-04 23:20:06,2023-09-04 23:20:06,29.927007299270077,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-04 23:23:06,2023-09-04 23:23:06
14,PALAIS DE JUSTICE,68,70,2023-09-04 23:20:07,2023-09-04 23:20:06,2.857142857142857,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-04 23:23:06,2023-09-04 23:23:06
15,BLOSSAC TISON,486,665,2023-09-04 23:20:07,2023-09-04 23:20:06,26.917293233082706,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-04 23:23:11,2023-09-04 23:23:11
16,NOTRE DAME,446,642,2023-09-04 23:20:07,2023-09-04 23:20:06,30.529595015576323,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-04 23:23:11,2023-09-04 23:23:11
17,HOTEL DE VILLE,441,625,2023-09-04 23:20:07,2023-09-04 23:20:06,29.439999999999998,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-04 23:23:11,2023-09-04 23:23:11
18,THEATRE,218,320,2023-09-04 23:20:08,2023-09-04 23:20:06,31.874999999999996,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-04 23:23:11,2023-09-04 23:23:11
19,GARE TOUMAI,465,632,2023-09-04 23:20:07,2023-09-04 23:20:06,26.424050632911396,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-04 23:23:11,2023-09-04 23:23:11
20,ARRET MINUTE,96,137,2023-09-04 23:20:06,2023-09-04 23:20:06,29.927007299270077,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-04 23:23:11,2023-09-04 23:23:11
21,PALAIS DE JUSTICE,68,70,2023-09-04 23:20:07,2023-09-04 23:20:06,2.857142857142857,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-04 23:23:11,2023-09-04 23:23:11
