id,nom,places,capacite,derniere_mise_a_jour_base,derniere_actualisation_bo,taux_doccupation,geo_point_2d,parking_id,inserted_at,updated_at
1,BLOSSAC TISON,482,665,2023-09-06 01:32:05,2023-09-06 01:32:14,27.518796992481203,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 01:35:41,2023-09-06 01:35:41
2,NOTRE DAME,466,642,2023-09-06 01:32:06,2023-09-06 01:32:14,27.41433021806853,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 01:35:41,2023-09-06 01:35:41
3,HOTEL DE VILLE,397,625,2023-09-06 01:32:06,2023-09-06 01:32:14,36.480000000000004,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 01:35:41,2023-09-06 01:35:41
4,THEATRE,227,320,2023-09-06 01:32:07,2023-09-06 01:32:14,29.062500000000004,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 01:35:41,2023-09-06 01:35:41
5,GARE TOUMAI,367,632,2023-09-06 01:32:06,2023-09-06 01:32:14,41.93037974683544,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-06 01:35:41,2023-09-06 01:35:41
6,ARRET MINUTE,93,137,2023-09-06 01:32:05,2023-09-06 01:32:14,32.11678832116788,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-06 01:35:41,2023-09-06 01:35:41
7,PALAIS DE JUSTICE,78,70,2023-09-06 01:32:06,2023-09-06 01:32:14,-11.428571428571429,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-06 01:35:41,2023-09-06 01:35:41
8,BLOSSAC TISON,483,665,2023-09-06 01:46:08,2023-09-06 01:46:25,27.368421052631582,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 01:49:26,2023-09-06 01:49:26
9,NOTRE DAME,468,642,2023-09-06 01:46:11,2023-09-06 01:46:25,27.102803738317753,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 01:49:26,2023-09-06 01:49:26
10,HOTEL DE VILLE,397,625,2023-09-06 01:46:10,2023-09-06 01:46:25,36.480000000000004,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 01:49:26,2023-09-06 01:49:26
11,THEATRE,227,320,2023-09-06 01:46:11,2023-09-06 01:46:25,29.062500000000004,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 01:49:26,2023-09-06 01:49:26
12,GARE TOUMAI,367,632,2023-09-06 01:46:10,2023-09-06 01:46:25,41.93037974683544,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-06 01:49:26,2023-09-06 01:49:26
13,ARRET MINUTE,93,137,2023-09-06 01:46:08,2023-09-06 01:46:25,32.11678832116788,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-06 01:49:26,2023-09-06 01:49:26
14,PALAIS DE JUSTICE,78,70,2023-09-06 01:46:11,2023-09-06 01:46:25,-11.428571428571429,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-06 01:49:26,2023-09-06 01:49:26
15,BLOSSAC TISON,483,665,2023-09-06 01:48:10,2023-09-06 01:48:18,27.368421052631582,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 01:51:56,2023-09-06 01:51:56
16,NOTRE DAME,468,642,2023-09-06 01:48:11,2023-09-06 01:48:18,27.102803738317753,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 01:51:56,2023-09-06 01:51:56
17,HOTEL DE VILLE,397,625,2023-09-06 01:48:11,2023-09-06 01:48:18,36.480000000000004,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 01:51:56,2023-09-06 01:51:56
18,THEATRE,227,320,2023-09-06 01:48:11,2023-09-06 01:48:18,29.062500000000004,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 01:51:56,2023-09-06 01:51:56
19,GARE TOUMAI,367,632,2023-09-06 01:48:10,2023-09-06 01:48:18,41.93037974683544,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-06 01:51:56,2023-09-06 01:51:56
20,ARRET MINUTE,93,137,2023-09-06 01:48:09,2023-09-06 01:48:18,32.11678832116788,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-06 01:51:56,2023-09-06 01:51:56
21,PALAIS DE JUSTICE,78,70,2023-09-06 01:48:11,2023-09-06 01:48:18,-11.428571428571429,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-06 01:51:56,2023-09-06 01:51:56
22,BLOSSAC TISON,483,665,2023-09-06 01:52:10,2023-09-06 01:52:30,27.368421052631582,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 01:54:26,2023-09-06 01:54:26
23,NOTRE DAME,468,642,2023-09-06 01:52:12,2023-09-06 01:52:30,27.102803738317753,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 01:54:26,2023-09-06 01:54:26
24,HOTEL DE VILLE,397,625,2023-09-06 01:52:12,2023-09-06 01:52:30,36.480000000000004,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 01:54:26,2023-09-06 01:54:26
25,THEATRE,227,320,2023-09-06 01:52:13,2023-09-06 01:52:30,29.062500000000004,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 01:54:26,2023-09-06 01:54:26
26,GARE TOUMAI,367,632,2023-09-06 01:52:12,2023-09-06 01:52:30,41.93037974683544,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-06 01:54:26,2023-09-06 01:54:26
27,ARRET MINUTE,93,137,2023-09-06 01:52:10,2023-09-06 01:52:30,32.11678832116788,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-06 01:54:26,2023-09-06 01:54:26
28,PALAIS DE JUSTICE,78,70,2023-09-06 01:52:13,2023-09-06 01:52:30,-11.428571428571429,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-06 01:54:26,2023-09-06 01:54:26
29,BLOSSAC TISON,483,665,2023-09-06 01:54:10,2023-09-06 01:54:18,27.368421052631582,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 01:56:57,2023-09-06 01:56:57
30,NOTRE DAME,468,642,2023-09-06 01:54:13,2023-09-06 01:54:18,27.102803738317753,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 01:56:57,2023-09-06 01:56:57
31,HOTEL DE VILLE,397,625,2023-09-06 01:54:13,2023-09-06 01:54:18,36.480000000000004,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 01:56:57,2023-09-06 01:56:57
32,THEATRE,227,320,2023-09-06 01:54:13,2023-09-06 01:54:18,29.062500000000004,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 01:56:57,2023-09-06 01:56:57
33,GARE TOUMAI,367,632,2023-09-06 01:54:12,2023-09-06 01:54:18,41.93037974683544,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-06 01:56:57,2023-09-06 01:56:57
34,ARRET MINUTE,93,137,2023-09-06 01:54:10,2023-09-06 01:54:18,32.11678832116788,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-06 01:56:57,2023-09-06 01:56:57
35,PALAIS DE JUSTICE,78,70,2023-09-06 01:54:13,2023-09-06 01:54:18,-11.428571428571429,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-06 01:56:57,2023-09-06 01:56:57
36,BLOSSAC TISON,483,665,2023-09-06 01:56:12,2023-09-06 01:56:18,27.368421052631582,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 01:59:27,2023-09-06 01:59:27
37,NOTRE DAME,468,642,2023-09-06 01:56:13,2023-09-06 01:56:18,27.102803738317753,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 01:59:27,2023-09-06 01:59:27
38,HOTEL DE VILLE,398,625,2023-09-06 01:56:13,2023-09-06 01:56:18,36.32,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 01:59:27,2023-09-06 01:59:27
39,THEATRE,227,320,2023-09-06 01:56:13,2023-09-06 01:56:18,29.062500000000004,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 01:59:27,2023-09-06 01:59:27
40,GARE TOUMAI,367,632,2023-09-06 01:56:13,2023-09-06 01:56:18,41.93037974683544,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-06 01:59:27,2023-09-06 01:59:27
41,ARRET MINUTE,93,137,2023-09-06 01:56:12,2023-09-06 01:56:18,32.11678832116788,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-06 01:59:27,2023-09-06 01:59:27
42,PALAIS DE JUSTICE,78,70,2023-09-06 01:56:13,2023-09-06 01:56:18,-11.428571428571429,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-06 01:59:27,2023-09-06 01:59:27
43,BLOSSAC TISON,483,665,2023-09-06 01:58:12,2023-09-06 01:58:18,27.368421052631582,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 02:01:57,2023-09-06 02:01:57
44,NOTRE DAME,468,642,2023-09-06 01:58:13,2023-09-06 01:58:18,27.102803738317753,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 02:01:57,2023-09-06 02:01:57
